# Q2(Gev/c)^2   F1u             dF1u            F1d              dF1d
0.1120		1.5267		0.0395		0.7492		0.0411
0.1163		1.5164		0.0393		0.7435		0.0403
0.1255		1.4885		0.0389		0.7283		0.0388
0.1300		1.4771		0.0386		0.7220		0.0381
0.1348		1.4654		0.0384		0.7155		0.0373
0.1395		1.4537		0.0383		0.7090		0.0367
0.1441		1.4397		0.0381		0.7014		0.0361
0.1490		1.4209		0.0378		0.6913		0.0355
0.1538		1.4153		0.0378		0.6879		0.0350
0.1588		1.3987		0.0375		0.6789		0.0344
0.1620		1.4220		0.0449		0.6901		0.0362
0.1637		1.3865		0.0374		0.6721		0.0339
0.1687		1.3641		0.0372		0.6603		0.0334
0.1739		1.3540		0.0371		0.6545		0.0329
0.1789		1.3436		0.0369		0.6487		0.0325
0.1840		1.3265		0.0368		0.6395		0.0321
0.1893		1.3189		0.0368		0.6350		0.0317
0.1910		1.3317		0.0424		0.6412		0.0333
0.1943		1.3038		0.0366		0.6268		0.0313
0.1997		1.2857		0.0365		0.6170		0.0309
0.2051		1.2672		0.0364		0.6071		0.0306
0.2103		1.2589		0.0363		0.6023		0.0303
0.2150		1.0764		0.0667		0.5104		0.0411
0.2156		1.2489		0.0362		0.5966		0.0300
0.2210		1.2411		0.0363		0.5920		0.0298
0.2318		1.2204		0.0362		0.5804		0.0292
0.2320		1.2309		0.0402		0.5856		0.0305
0.2350		1.1660		0.0584		0.5528		0.0370
0.2427		1.1823		0.0360		0.5600		0.0288
0.2481		1.1796		0.0360		0.5580		0.0286
0.2510		1.1807		0.0571		0.5582		0.0361
0.2592		1.1613		0.0359		0.5476		0.0282
0.2650		1.1487		0.0509		0.5406		0.0333
0.2758		1.1258		0.0357		0.5279		0.0276
0.2814		1.1129		0.0358		0.5208		0.0275
0.2820		1.1076		0.0386		0.5181		0.0284
0.2980		1.0378		0.0374		0.4815		0.0276
0.3069		1.0612		0.0353		0.4922		0.0268
0.3080		1.0261		0.0384		0.4746		0.0278
0.3200		1.0056		0.0685		0.4631		0.0395
0.3354		1.0089		0.0351		0.4633		0.0262
0.3450		1.0041		0.0378		0.4599		0.0269
0.3460		0.9685		0.0370		0.4421		0.0267
0.3460		0.9780		0.0365		0.4468		0.0265
0.3500		0.9449		0.0611		0.4299		0.0360
0.3638		0.9604		0.0349		0.4364		0.0257
0.3730		0.9835		0.0546		0.4471		0.0331
0.3800		0.9356		0.0541		0.4226		0.0328
0.3900		0.9305		0.0428		0.4192		0.0283
0.3916		0.9287		0.0347		0.4182		0.0253
0.4000		0.8848		0.0363		0.3955		0.0257
0.4010		0.9531		0.0521		0.4296		0.0318
0.4020		0.8931		0.0353		0.3995		0.0254
0.4190		0.9066		0.0367		0.4050		0.0257
0.4201		0.8886		0.0344		0.3959		0.0249
0.4410		0.8490		0.0489		0.3746		0.0302
0.4471		0.8472		0.0343		0.3733		0.0246
0.4490		0.8367		0.0345		0.3679		0.0246
0.4600		0.8380		0.0408		0.3678		0.0268
0.4740		0.8033		0.0361		0.3496		0.0250
0.4748		0.8153		0.0339		0.3555		0.0242
0.4900		0.8221		0.0350		0.3580		0.0244
0.4940		0.7863		0.0338		0.3399		0.0240
0.5000		0.8365		0.0469		0.3646		0.0289
0.5000		0.8199		0.0355		0.3563		0.0245
0.5011		0.7861		0.0333		0.3394		0.0237
0.5150		0.7877		0.0385		0.3394		0.0255
0.5274		0.7484		0.0329		0.3191		0.0234
0.5470		0.7341		0.0327		0.3110		0.0231
0.5524		0.7220		0.0324		0.3047		0.0230
0.5700		0.7307		0.0385		0.3082		0.0251
0.5910		0.7130		0.0343		0.2985		0.0233
0.5990		0.6788		0.0319		0.2811		0.0224
0.6950		0.6088		0.0296		0.2432		0.0207
0.7600		0.5882		0.0310		0.2316		0.0206
0.7900		0.5635		0.0275		0.2188		0.0191
0.8000		0.5386		0.0270		0.2062		0.0188
0.8600		0.4936		0.0275		0.1832		0.0185
0.8800		0.5034		0.0383		0.1880		0.0227
1.0200		0.4326		0.0245		0.1526		0.0163
1.0200		0.4264		0.0221		0.1495		0.0154
