# Q2         F1u                       dF1u                       F1d                   dF1d 
0.057	1.7829270873527936	0.012962752838576152	0.8825284982448927	0.011599795564177402
0.113	1.6050881433759479	0.016545783150250692	0.7798549703753607	0.012664979039585338
0.167	1.4624216994783406	0.018990054312403797	0.7034772388114918	0.016342065721068975
0.219	1.3426955567939065	0.021207595553166092	0.6255353330187357	0.018463804795092686
0.27	1.2495213264347425	0.018828237540591295	0.5794399927894286	0.016124323936733322
0.32	1.1684549702403944	0.022474186792635048	0.5402853671504505	0.01739493352778008
0.417	1.0204575040428403	0.031833859763027966	0.4524608169390645	0.02441731916866708
0.464	0.9612312738878821	0.0297029940766518	0.42333762781040474	0.022371314952432584
0.51	0.9162365839561334	0.0347765661871617	0.38951360268441904	0.026575316005001095
0.554	0.8864660026515383	0.040217111468341976	0.3693494664341078	0.028949395159782672
0.598	0.8234943388618661	0.0628575858179784	0.34465964254871034	0.043531352710981755
0.642	0.8042006225657325	0.051769210225401166	0.3272240735538605	0.03600235402981196
0.684	0.7513720138477642	0.05242140816436819	0.30623264120890303	0.03638137421991003
